iter time likelihood converge
0001 000092 -34084.78727 1.0000000000
0002 000171 -20133.54023 0.4093100810
0003 000239 -15516.86634 0.2293026379
0004 000306 -14467.57481 0.0676226447
0005 000374 -14223.70219 0.0168564962
0006 000442 -14131.33647 0.0064937888
0007 000511 -14077.58481 0.0038037211
0008 000578 -14040.54848 0.0026308718
0009 000645 -14013.26031 0.0019435260
0010 000712 -13992.35007 0.0014921754
0011 000777 -13975.87232 0.0011776258
0012 000843 -13962.60380 0.0009493874
0013 000908 -13951.73192 0.0007786428
0014 000974 -13942.69444 0.0006477676
0015 001042 -13935.08960 0.0005454351
0016 001106 -13928.62264 0.0004640774
0017 001172 -13923.07246 0.0003984737
0018 001237 -13918.27005 0.0003449243
0019 001301 -13914.08418 0.0003007464
0020 001366 -13910.41149 0.0002639547
0021 001442 -13907.16960 0.0002330547
0022 001507 -13904.29215 0.0002069044
0023 001571 -13901.72516 0.0001846189
0024 001636 -13899.42435 0.0001655049
0025 001700 -13897.35315 0.0001490136
0026 001765 -13895.48109 0.0001347064
0027 001831 -13893.78264 0.0001222300
0028 001898 -13892.23630 0.0001112974
0029 001963 -13890.82382 0.0001016743
0030 002028 -13889.52964 0.0000931677
